Razon social,indipais,Celular
AGROMETALICASGALLEGO,57,3164157426
AGROPECUARIA CAR SAS,57,3102063978
AGROPECUARIA CAR SAS,57,3202469473
AGROPECUARIA EL BÈFALO S.A,57,3153723763
AGROPECUARIA EL BÈFALO S.A,57,3175097534
AGROPECUARIA MARBELLA,57,3217663469
ALEXANDRA FARMS S.A.S,57,3174009530
ALIMENTOS ALAN S.A.S,57,3116173066
ALIMENTOS ALAN S.A.S,57,3122508089
ALIMENTOS CARNICOS SAS,57,3208681711
ALIMENTOS EL DORADO,57,3206348561
ALIMENTOS EL DORADO,57,3217897258
ALIMENTOS GIRONES S.A,57,3152572663
ALIMENTOS LA ISABELA SAS,57,3166910658
ALIMENTOS LA ISABELA SAS,57,3176455767
ALIMENTOS NARANJA VERDE LTDA,57,3118947467
ALIMENTOS NARANJA VERDE LTDA,57,3168336471
ALIMENTOS NEBRASKA S.A.S.,57,3122979084
ALIMENTOS NEBRASKA S.A.S.,57,3123977093
ALIMENTOS PIEDEMONTE,57,3208423708
ALIMENTOS PLENOS SAS,57,3163919524
ALIMENTOS PLENOS SAS,57,3164242880
ALIMENTOS TONING S.A.,57,3117619586
ALIMENTOS TONING S.A.,57,3122741333
ALLVIDA COLOMBIA S.A.S.,57,3156975128
ALLVIDA COLOMBIA S.A.S.,57,3194239869
ALMIDONES SUCRE,57,3145531353
ALMIDONES SUCRE,57,3215408352
ALPILU SAS,57,3104191302
ALSEC S.A,57,3006741333
ALSEC S.A,57,3108484985
AMERICAN FLOWERS MEDELLIN S.A.S,57,3128513286
AMERICAN FLOWERS MEDELLIN S.A.S,57,3004504902
AMIGOS AMG LTDA COMERCIALIZADORA DE CAFE PITAYO,57,3123506813
AMIGOS AMG LTDA COMERCIALIZADORA DE CAFE PITAYO,57,3144307034
ANCESTRAL S.A.S.,57,3162869183
ANDEAN FOODS SAS,57,3187174620
ANDEAN FOODS SAS,57,3217250272
ANGEL FLOWERS INTERNATIONAL S.A.S.,57,3207140845
ANGLETON GROUP SAS,57,3104619514
ANGLETON GROUP SAS,57,3136607015
ANTIOQUE•A DE CHOCOLATES Y LICORES SAS,57,3116105851
ANTIOQUE•A DE CHOCOLATES Y LICORES SAS,57,3134227166
ANTTONINAS S.A.S,57,3105110564
ANTTONINAS S.A.S,57,3155555557
AREQUIPE LA BOYANO,57,3208570720
AROMASSENCE S.A.S,57,3004899044
AROMASSENCE S.A.S,57,3004711753
AROMATICAS DE ANTIOQUIA SAS,57,3016050566
AROMATICAS DE ANTIOQUIA SAS,57,3116058370
ASOCATI,57,3118627891
ASOCATI,57,3125218302
ASOCIACI‡N APROPIT,57,3203737836
ASOCIACI‡N DE CACAOCULTORES DEL MUNICIPIO DE LOS ANDES SOTOMAYOR,57,3165387586
ASOCIACION DE DESPLAZADOS NUEVO FUTURO,57,3215983134
ASOCIACION DE DESPLAZADOS NUEVO FUTURO,57,3219763507
ASOCIACI‡N DE PEQUE•OS CAFETEROS DE QUINCH÷A - APECAFêQ,57,3116291581
ASOCIACI‡N DE PEQUE•OS CAFETEROS DE QUINCH÷A - APECAFêQ,57,3218156127
ASOPRADUSE,57,3172598885
ASOPROCASINES,57,3175024019
ASOPROCASINES,57,3175132003
ASOPROHOR UBAQUE,57,3118818990
ASOPROHOR UBAQUE,57,3209852753
ASOPROKIA,57,3176481279
ASOVELE•OS,57,3118091285
ASOVELE•OS,57,3132949531
ATUNES Y ENLATADOS DEL CARIBE S.A.,57,3176430628
ATUNES Y ENLATADOS DEL CARIBE S.A.,57,3173836326
BAN TRANS S.A.S,57,3136151852
BAN TRANS S.A.S,57,3206903143
BANANITAS SAS,57,3005516746
BANANITAS SAS,57,3005524359
BARTER GROUP SAS,57,3015993728
BARTER GROUP SAS,57,3223256191
BCB EXPORTACIONES SAS,57,3105449537
BENCHAMRK GROWERS SAS,57,3208384531
BENCHAMRK GROWERS SAS,57,3209643069
BGONIMA FLOWERS S.A.S,57,3103903830
BGONIMA FLOWERS S.A.S,57,3104354513
BIODISTRIBUCIONES TERRA,57,3154489213
BIODISTRIBUCIONES TERRA,57,3163188762
BIOFRUT COMPANY S.A.S.,57,3118116852
BIOFRUT COMPANY S.A.S.,57,3138299368
BIOFRUT COMPANY S.A.S.,57,3153719044
BIO-STEVIA S.A.S.,57,3117648858
BIO-STEVIA S.A.S.,57,3166912791
BLOOM FLOWER 2 TRADE S.A.S,57,3133411552
BONDI TRADERS SAS,57,3112275685
BONDI TRADERS SAS,57,3112049372
BOTANIC REPUBLIC SA,57,3157957905
BOTANIC REPUBLIC SA,57,3182097841
C I FISH CO SAS,57,3138521555
C I FISH CO SAS,57,3154043539
C I YUNI TRADING S A S,57,3118816857
C. I. KYOTO LOHAS BEANS S.A.S.,57,3006782171
C.I COMERCIALIZADORA LA BLANQUITA S.A.T S.A,57,3183758405
C.I COMERCIALIZADORA LA BLANQUITA S.A.T S.A,57,3183758407
C.I LA COSECHA DEL VALLE S.A.S,57,3168314476
C.I SOEXCOL S.A.S,57,3165275809
C.I SOEXCOL S.A.S,57,3153150609
C.I. ANDINA SAS,57,3115129625
C.I. ANDINA SAS,57,3128332612
C.I. ANDINA SAS,57,3128333710
C.I. BIOCOSTA,57,3126985445
C.I. BIOCOSTA,57,3205313462
C.I. DE AZUCARES Y MIELES S.A.,57,3155070940
C.I. DE AZUCARES Y MIELES S.A.,57,3164667936
C.I. DERIVADOS Y SUBPRODUCTOS DE SANTANDER S.A.S.,57,3133333200
C.I. DERIVADOS Y SUBPRODUCTOS DE SANTANDER S.A.S.,57,3183821808
C.I. DERIVADOS Y SUBPRODUCTOS DE SANTANDER S.A.S.,57,3186054017
C.I. DULCES LA AMERICANA S.A,57,3166592132
C.I. FRUTOS NATURALES DE COLOMBIA LTDA,57,3172100509
C.I. FZ-MACRONEGOCIOS SAS,57,3125222275
C.I. FZ-MACRONEGOCIOS SAS,57,3125287737
C.I. GLOBAL BUSINESS S.A.,57,3052660036
C.I. GLOBAL BUSINESS S.A.,57,3208496828
C.I. PRODUCTOS BµSICOS IMPORT EXPORT S.A.S,57,3113490417
C.I. PRODUCTOS BµSICOS IMPORT EXPORT S.A.S,57,3206366938
C.I. SUPER DE ALIMENTOS S.A,57,3103758458
C.I. SURINTER S.A.S,57,3187710126
C.I. SURINTER S.A.S,57,3125369993
C.I. TROPIC KIT E.U.,57,3045510545
C.I. UNIBµN S.A.,57,3164728284
C.I. UNIBµN S.A.,57,3174389997
C.I. VIDFRUIT LTDA,57,3102571232
C.I. VIDFRUIT LTDA,57,3212001347
C.I. WOLF WOLF LATIN AMERICA S.A.,57,3102731873
C.I. WOLF WOLF LATIN AMERICA S.A.,57,3226587681
CACAO PACIFICO SA,57,3154642446
CACAO PACIFICO SA,57,3163258984
CACAOS SAS,57,3204006459
CACAOS SAS,57,3103099042
CAFE CON ALTURA BUESACO SAS,57,3176487585
CAFê OMA,57,3184732097
CAFê OMA,57,3219798130
CAFE QUINDIO S.A.S,57,3116073097
CAFE QUINDIO S.A.S,57,3116858454
CAFE QUINDIO S.A.S,57,3206936900
CAFE Y COMPA•IA S.A.S.,57,3117519431
CAFE Y COMPA•IA S.A.S.,57,3216119476
CAFEXPORT CURIT÷ SAS,57,3144767873
CAMAGUEY S.A.,57,3114131778
CARNES Y DERIVADOS DE OCCIDENTE S.A.,57,3128887200
CARNES Y DERIVADOS DE OCCIDENTE S.A.,57,3162554203
CAROLY FACTORY,57,3207723243
CASALUKER S.A,57,3105595780
CASALUKER S.A,57,3165391387
CAYENA FRUTOS DESHIDRATADOS SAS.,57,3115443088
CAYENA FRUTOS DESHIDRATADOS SAS.,57,3164696534
CFC SAS,57,3112538653
CFC SAS,57,3214923410
CHAPOLA COFFEE SAS,57,3173651927
CHAPOLA COFFEE SAS,57,3216881607
CHATOS S.A.S,57,3104493908
CHATOS S.A.S,57,3113020193
CIALTA SAS,57,3125228676
COAGROBRISAS LTDA,57,3114795863
COAGROBRISAS LTDA,57,3219763506
COBERDI SAS,57,3187342528
COFFEE COMPANY HUILA LTDA,57,3157804975
COFFEE COMPANY HUILA LTDA,57,3173796676
COLCAFE S.A.S,57,3174267160
COLFOOD SAS,57,3176669264
COLIBRI FLOWERS SA,57,3138856925
COLOMBIANA AGRICOLA DE ALIMENTOS SAS,57,3108771658
COLOMBIANA AGRICOLA DE ALIMENTOS SAS,57,3158505331
COLSNACKS SAS,57,3117706899
COLSNACKS SAS,57,3207255719
COMBIA INSPIRACION SAS,57,3104090095
COMBIA INSPIRACION SAS,57,3146825396
COMERCIALIZADORA INTERNACIONAL C-BUSINESS SOURSE S.A.S,57,3006152908
COMERCIALIZADORA INTERNACIONAL C-BUSINESS SOURSE S.A.S,57,3136451956
COMERCIALIZADORA INTERNACIONAL LAYMAR LTDA,57,3115894271
COMERCIALIZADORA INTERNACIONAL LAYMAR LTDA,57,3203435755
COMERCIALIZADORA LOPEZ VELEZ S.A.S,57,3104394907
COMERCIALIZADORA LOPEZ VELEZ S.A.S,57,3128432674
COMERCIALIZADORA MUNDIORIENTE S.A.S,57,3153813478
COMERCIALIZADORA MUNDIORIENTE S.A.S,57,3182851714
COMERCIALIZADORA NATURAL BIO DM S.A.S,57,3155284752
COMERCIALIZADORA OSCAR FERREIRA S.A.S,57,3044837028
COMERCIALIZADORA SIEMBRA SAS,57,3142718120
COMERCIALIZADORA SIEMBRA SAS,57,3212800090
COMERPANELA,57,3202143255
COMERPANELA,57,3208382699
COMESTIBLES ALDOR,57,3137171046
COMESTIBLES DAN ZONA FRANCA S.A.S.,57,3115507477
COMESTIBLES DAN ZONA FRANCA S.A.S.,57,3117723492
COMESTIBLES INTEGRALES S.A.,57,3104123771
COMESTIBLES ITALO S.A.,57,3102637909
COMESTIBLES ITALO S.A.,57,3183055647
COMESTIBLES JUANSHIS-JUAN ESTEBAN IDARRAGA,57,3117180631
COMESTIBLES JUANSHIS-JUAN ESTEBAN IDARRAGA,57,3148802236
COMESTIBLES RICOS S.A.,57,3102263581
COMFRUTAS EXPORT SAS,57,3004658006
COMFRUTAS EXPORT SAS,57,3138868808
COMPANY TRADING ZELEV FRUITS SAS,57,3193286377
COMPANY TRADING ZELEV FRUITS SAS,57,3217785020
COMPA•IA DE GALLETAS NOEL,57,3014298465
COMPA•÷A LATINA DE ALIMENTOS,57,3117476047
COMPA•÷A LATINA DE ALIMENTOS,57,3167429999
CONGELADOS CRISS SAS,57,3147909004
CONGELADOS HECHIZO S.A.S,57,3146302351
CONGELAGRO SA / MCCAIN COLOMBIA,57,3165245672
CONGRUPO S.A,57,3133493017
CONGRUPO S.A,57,3133898024
CONSERVAS T÷PICAS DE COLOMBIA B,57,3187728687
CONSERVAS T÷PICAS DE COLOMBIA B,57,3212053551
COOCENTRAL,57,3108164854
COOCENTRAL,57,3127651156
COOLFISH SAS,57,3134555594
COOLFISH SAS,57,3177002121
COOPERATIVA COLANTA,57,3104268494
COOPERATIVA COLANTA,57,3113059136
COOPERATIVA DE CAFICULTORES Y AGRICULTORES DE LA SIERRA NEVADA DE SANTA MARTA,57,3175030395
COOPERATIVA DEPARTAMENTAL DE PRODUCTORES DE QUINUA DEL CAUCA,57,3007363607
COOPERATIVA DEPARTAMENTAL DE PRODUCTORES DE QUINUA DEL CAUCA,57,3216447599
COOPERATIVA MULTIACTIVA AGROPECUARIA DE CACAOTEROS DEL DEPARTAMENTO DE ARAUCA,57,3106739337
COOPERATIVA MULTIACTIVA AGROPECUARIA DE CACAOTEROS DEL DEPARTAMENTO DE ARAUCA,57,3133549226
CORPOCAMPO,57,3208338199
CORPORACION PANELERA DO•A PANELA LTDA,57,3123548421
DE LOS ANGELES INVESTMENT SAS,57,3158894534
DE LOS ANGELES INVESTMENT SAS,57,3187157154
DEL ALBA,57,3217604979
DELIGHT CANE SAS,57,3155666032
DESCAFECOL,57,3137590634
DESCAFECOL,57,3206953817
DIPSA FOOD SAS,57,3112780472
DIPSA FOOD SAS,57,3203716094
DISCOMERLA SAS,57,3178338166
DISCOMERLA SAS,57,3003418638
DISCOVERY FARMS,57,3107643432
DISTRIBUCIONES JACE S.A.,57,3143073756
DISTRIBUCIONES JACE S.A.,57,3214794180
DISTRIBUIDORA AGROCARNES,57,3004331977
DORIGENN,57,3204495461
DORIGENN,57,3208380023
DRYCOL S.A.S,57,3118106100
DRYCOL S.A.S,57,3182405525
DULCES CONCHITA,57,3004862083
DULCES EL TRAPICHE SAS,57,3006121278
DULCES EL TRAPICHE SAS,57,3006970424
DULCES RENACER SAS,57,3174320486
DULCES RENACER SAS,57,3175735669
DUMAR DEL HUILA SAS,57,3208361947
ECOHERBS COLOMBIA,57,3132163642
ECOHERBS COLOMBIA,57,3148634428
ECOLSIERRA EXPORT S.A.S,57,3157571423
ECOLSIERRA EXPORT S.A.S,57,3016882428
ECORGANICOS DE COLOMBIA S.A.S C-I,57,3105689372
ECORGANICOS DE COLOMBIA S.A.S C-I,57,3105869372
EL GUALILO FREE ZONE S.A.S,57,3174400112
EL GUALILO FREE ZONE S.A.S,57,3187068513
ENTACOL S.A.S.,57,3155865876
ENTACOL S.A.S.,57,3182152256
ESPIRAL UNIVERSAL S.A.S,57,3002121979
ESPIRAL UNIVERSAL S.A.S,57,3208026564
ESTADO PURO OT SAS,57,3203031106
EURO AMERICAN FRUITS,57,3013493533
EURO AMERICAN FRUITS,57,3118328028
EXCLUSIVE IMPORT - EXPORT S.A.S,57,3008053710
EXCLUSIVE IMPORT - EXPORT S.A.S,57,3122476879
EXPOCAROLA S.A.S.,57,3117053667
EXPOCAROLA S.A.S.,57,3166805863
EXPOCOSURCA S.A.,57,3206775433
EXPOCOSURCA S.A.,57,3206775436
EXPOMEAT LIMITADA,57,3152946153
EXPOMEAT LIMITADA,57,3167420662
EXPORIUM CI SAS,57,3125230829
EXPORIUM CI SAS,57,3134668646
EXPORTACIONES BASTOS S.A.S.,57,3115692863
EXPORTACIONES BASTOS S.A.S.,57,3203452104
EXPORTADORA MONTES DE MACANILLO,57,3017842034
EXPORTADORA MONTES DE MACANILLO,57,3208405363
FABRICA DE LICORES DE AMERICA S.A.S,57,3176475823
FABRICA DE PANELA CARMELITA,57,3123318836
FABRICA DE PANELA CARMELITA,57,3134666270
FABRICA DE PANELA CARMELITA,57,3202840253
FAIRFRUITS,57,3117641387
FAIRFRUITS,57,3157452871
FAMILY BEANS S.A.S,57,3136443834
FEDERACI‡N CAMPESINA DEL CAUCA FCC,57,3206939984
FEDERACI‡N CAMPESINA DEL CAUCA FCC,57,3206939985
FEDERACION NACIONAL DE CACAOTEROS,57,3118194445
FEDERACION NACIONAL DE CACAOTEROS,57,3203649880
FEDERAL SAS,57,3117691373
FEDERAL SAS,57,3117710182
FLORES CHIPATA S.A.,57,3002121647
FLORES CHIPATA S.A.,57,3045454916
FLORES EL PANDERO SAS,57,3102448899
FLORESTA FLOWERS S.A.S,57,3166904972
FLP PROCESADOS SAS,57,3112317841
FLP PROCESADOS SAS,57,3143311483
FONSECA EXPORTACIONES S.A.S,57,3007716211
FONSECA EXPORTACIONES S.A.S,57,3016913498
FOOD COLOMBIA SAS,57,3136614723
FOOD COLOMBIA SAS,57,3154865800
FOOD TRADERS WORLDWIDE S.A.S,57,3166942641
FOOD TRADERS WORLDWIDE S.A.S,57,3117179294
FRANCISCO SERRANO,57,3107634896
FRANCISCO SERRANO,57,3143600285
FREE MIND,57,3123035280
FREE MIND,57,3107720300
FRIGORIFICO GUADALUPE SAS,57,3124482631
FRIGORIFICO GUADALUPE SAS,57,3134428060
FRUTALES LAS LAJAS S.A.,57,3146209163
FRUTALES LAS LAJAS S.A.,57,3146452477
FRUTAS Y TUBêRCULOS DEL SINÈ S.A.S,57,3008143523
FRUTAS Y TUBêRCULOS DEL SINÈ S.A.S,57,3148634071
FRUTIDELICIAS Y CIA SAS,57,3117416467
FRUTIHELEN SAS,57,3155701398
FRUTIHELEN SAS,57,3185240991
FRUTISIMA LTDA,57,3108564305
FRUTISIMA LTDA,57,3133963688
FRUTYSABOR S.A.S,57,3148939795
FRUTYSABOR S.A.S,57,3214382974
FUNCTIONAL FOODS S.A.S.,57,3154587107
FUNCTIONAL FOODS S.A.S.,57,3163538718
GANADERIA MANZANARES,57,3123021738
GANADERIA MANZANARES,57,3138865394
GASEOSAS POSADA TOBON S.A.,57,3012438124
GASEOSAS POSADA TOBON S.A.,57,3116303633
GLOBAL AGRICULTURAL TRADING SAS,57,3017259089
GLOBAL AGRICULTURAL TRADING SAS,57,3174426401
GLOBE LOGISTICS SERVICES SAS,57,3102576198
GLORIA LUCIA ARANGO MARIN,57,3113668535
GLORIA LUCIA ARANGO MARIN,57,3113848525
GOLDCHIPS S.A.S.,57,3113899675
GOLDCHIPS S.A.S.,57,3175010603
GREENEX SAS,57,3128325894
GRUPO ACTI S.A.S.,57,3103964775
GRUPO ACTI S.A.S.,57,3108398187
GRUPO ASOCIATIVO DE TRABAJO AGROINDUSTRIAL ILLARI,57,3176552938
GRUPO BIZ COLOMBIA SAS,57,3108178794
GRUPO BIZ COLOMBIA SAS,57,3123062583
GRUPO BIZ COLOMBIA SAS,57,3204909325
GRUPO EMPRESARIAL CCMP,57,3102052569
GRUPO EMPRESARIAL CCMP,57,3195780745
GRUPO EMPRESARIAL LOGISTICO DE COLOMBIA SAS,57,3164738697
GRUPO SAMSARA S.A.S. DULCES EL PARAGUITAS,57,3153612364
GUIRNALDAS S.A.S,57,3114448732
GUIRNALDAS S.A.S,57,3164735016
HACIENDA CAFETERA LA PRADERA,57,3104818147
HACIENDA LA ESPERANZA,57,3137300042
HALCA & SVS S.A.S.,57,3104491775
HALCA & SVS S.A.S.,57,3117474741
HARINERA DEL VALLE S.A.,57,3113004108
HATO LA MACANA SAS,57,3005934081
HATO LA MACANA SAS,57,3153337864
HEAVEN'S FRUITS,57,3144785237
HEAVEN'S FRUITS,57,3202744313
HORTALIZAS GOURMET S.A.,57,3117195526
HORTALIZAS GOURMET S.A.,57,3203474775
INDUSTRIA COLOMBIANA DE CARNE S.A,57,3134611774
INDUSTRIA DE GALLETAS GRECO SA,57,3108453876
INDUSTRIA DE LICORES DEL VALLE,57,3173832818
INDUSTRIALES DE AMêRICA S.A.S,57,3174045311
INDUSTRIALES DE AMêRICA S.A.S,57,3174344710
INDUSTRIAS LA CORU•A LTDA.,57,3132524087
INDUSTRIAS LOLY S.A.S.,57,3155300339
INDUSTRIAS LOLY S.A.S.,57,3155312555
INDUSTRIAS REFRIDCOL S.A.,57,3162919149
INDUSTRIAS SAN FELIPE S.A.S,57,3003757947
INDUSTRIAS SAN FELIPE S.A.S,57,3104042377
INDUSTRIAS SAN FELIPE S.A.S,57,3115699805
INDUTRADE COLOMBIA S.A.S,57,3215402976
INDUTRADE COLOMBIA S.A.S,57,3205235985
INGEMARC CIA LTDA,57,3106024609
INGEMARC CIA LTDA,57,3015943179
INGEMARC CIA LTDA,57,3005171615
INGENIO RISARALDA S.A,57,3137162147
INGENIO RISARALDA S.A,57,3137591198
INSUALIMENTOS SAS,57,3115472085
INSUALIMENTOS SAS,57,3115499429
INSUALIMENTOS SAS,57,3144209246
INT BUSINESS SOLUTIONS,57,3106756431
INT BUSINESS SOLUTIONS,57,3117168333
INTERNATIONAL FRESH PRODUCES S.A.S,57,3133503087
INTERNATIONAL FRESH PRODUCES S.A.S,57,3176820193
INTERNATIONAL TRADING HEALTHY FRUITS S.A.S.,57,3108198231
INTERNATIONAL TRADING HEALTHY FRUITS S.A.S.,57,3176591741
INVERPALMAS SAS,57,3174331635
INVERPALMAS SAS,57,3184153802
INVERSIONES MAGAZI SAS,57,3115471637
INVERSIONES MAGAZI SAS,57,3163680845
INVERSIONES NAPY S.A.,57,3136491955
INVERSIONES TAPIA VILLAMIZAR SAS,57,3187287833
INVERSIONES TAPIA VILLAMIZAR SAS,57,3188565481
INVERSIONES Y DISTRIBUCIONES SANTANDER LTDA,57,3106092627
INVERSIONES Y DISTRIBUCIONES SANTANDER LTDA,57,3214539538
INVERSIONES Y REPRESENTACIONES VAN LTDA,57,3107674154
INVERSIONES Y REPRESENTACIONES VAN LTDA,57,3107674160
INVERSIONES Y SERVICIOS AMCA SAS,57,3214660380
INVERSIONES Y SERVICIOS AMCA SAS,57,3214966189
INVERSIONES ZULUAGA RUEDA,57,3154761101
INVERSORA VIDAL S.A.S,57,3148171021
INVERSORA VIDAL S.A.S,57,3148171056
J&M GROUP SAS,57,3148897642
KASA WHOLEFOODS COMPANY SAS,57,3108505748
KASA WHOLEFOODS COMPANY SAS,57,3125215960
KENTERPRISSE SAS CI,57,3202744191
KENTERPRISSE SAS CI,57,3202744201
LA CASONA DEL CAMPO DEL FUTURO,57,3002102058
LA DESPENSA PRODUCTOS GOURMET SAS,57,3113767510
LA DESPENSA PRODUCTOS GOURMET SAS,57,3208049344
LA EQUITATIVA FAIR TRADE COMPANY SAS,57,3215998804
LA GAITANA FARMS SA,57,3153166915
LA HICOTEA FACTORIA SAS,57,3122791059
LA HICOTEA FACTORIA SAS,57,3174344557
LA HONDURA SA CIVIL,57,3103746363
LA HONDURA SA CIVIL,57,3104269568
LA PERLA ORGANICOS S.A.S,57,3012955782
LABORATORIOS LYZMHOR‘ LTDA,57,3138858801
LABORATORIOS LYZMHOR‘ LTDA,57,3212705849
LABORATORIOS VIDASTEVIA S.A,57,3125867653
LABORATORIOS VIDASTEVIA S.A,57,3144292822
LABORATORIOS VIDASTEVIA S.A,57,3214684968
LACKY LUCK COMPANY SAS,57,3213437572
LACKY LUCK COMPANY SAS,57,3123518166
LAS OLAS LOUNGE S.A.S,57,3152330835
LAS OLAS LOUNGE S.A.S,57,3104171040
LISTO Y FRESCO LTDA,57,3165260498
LISTO Y FRESCO LTDA,57,3174283870
LLOREDA S.A.,57,3102249607
LOGOTIPOS CHOCOLATES,57,3165250080
LôK FOODS,57,3144116270
LôK FOODS,57,3183272678
LYOTROPIC SAS,57,3202111427
MACARENA FARMS SAS,57,3213174469
MACARENA FARMS SAS,57,3142208769
MAGNIFERA DE COLOMBIA S.A.S.,57,3164488018
MANGOMEZ S.A.S.,57,3005553485
MANITOBA LTDA,57,3103885750
MANITOBA LTDA,57,3165250830
MELANGE GOURMET S.A.S,57,3183305753
MERCADEO SAN DIEGO,57,3148366083
MISI‡N CHOCOLATE CORPORACI‡N PARA EL DESARROLLO SOCIAL Y ECON‡MICO DE COLOMBIA,57,3142837862
MISI‡N CHOCOLATE CORPORACI‡N PARA EL DESARROLLO SOCIAL Y ECON‡MICO DE COLOMBIA,57,3158094427
MISI‡N CHOCOLATE CORPORACI‡N PARA EL DESARROLLO SOCIAL Y ECON‡MICO DE COLOMBIA,57,3212487470
MOLINOS DEL ATLANTICO S.A.S,57,3157245863
MOLINOS DEL ATLANTICO S.A.S,57,3203169258
MONTESIERRA EXPORT S.A.S,57,3145622207
MONTESIERRA EXPORT S.A.S,57,3215896350
MOUNTAIN FOOD SAS,57,3102547457
MOUNTAIN FOOD SAS,57,3107855107
NACIONAL DE DESHIDRATADOS S.A.S.,57,3014789005
NACIONAL DE DESHIDRATADOS S.A.S.,57,3214497344
NATIVA PRODUCE SAS,57,3103223897
NATIVA PRODUCE SAS,57,3108019836
NATURAL FOODS ENTERPRISE SAS,57,3173618843
NESTLE DE COLOMBIA SA,57,3163529303
NESTLE DE COLOMBIA SA,57,3174408957
NIETO & MILEVCIC LTDA,57,3132082626
NIETO & MILEVCIC LTDA,57,3174338492
NORMANDY S.A.,57,3104550033
NORMANDY S.A.,57,3217332860
NOVACAMPO S.A. SCI,57,3133951498
NOVACAMPO S.A. SCI,57,3212018968
NUTICOL SAS,57,3202324565
NUTICOL SAS,57,3203433916
NUTRI-G SNACKS S.A.S,57,3136860324
NUTRI-G SNACKS S.A.S,57,3164783738
NUTRIUM S.A.S.,57,3122650555
OLEOFLORES S.A.S,57,3153495016
OLEOFLORES S.A.S,57,3168765719
OLMUê COLOMBIA SAS,57,3103700700
OLMUê COLOMBIA SAS,57,3113810886
ORGANIC GARDEN SAS,57,3102644984
ORGANIC GARDEN SAS,57,3103202780
ORIGEN FRUITS SAS,57,3124606635
ORIGEN'S SAS,57,3106850437
ORIGINAL NATURAL AND EFFECTIVE SAS,57,3015513231
ORIGINAL NATURAL AND EFFECTIVE SAS,57,3195116486
OSSIMO FLOWERS SAS CI,57,3212022195
PACIFIC PRODUCTS S.A.S,57,3137976102
PACIFIC PRODUCTS S.A.S,57,3207270647
PACIFICO SNACKS S.A.S.,57,3113661438
PACIFICO SNACKS S.A.S.,57,3214992555
PAMPA LTDA,57,3016950917
PAMPA LTDA,57,3154058236
PASABOCAS PATTY S.A.S,57,3136048389
PASABOCAS PATTY S.A.S,57,3206981914
PASTELPAN S.A.S,57,3108306503
PICCOLO PIACERE S.A.S,57,3113836215
PICCOLO PIACERE S.A.S,57,3122358687
PISCIFACTORIA REMAR SAS,57,3173717249
PREMEZCLAS S.A.,57,3206959608
PREMEZCLAS S.A.,57,3226951522
PRIME FOODS S.A.S.,57,3108171014
PRIME FOODS S.A.S.,57,3208055210
PROCAFECOL S.A.,57,3112145853
PROCAFECOL S.A.,57,3213539676
PRODE S.A.S,57,3175098227
PRODE S.A.S,57,3217826016
PRODIA S.A.S,57,3178931566
