nombre ,indipais,numero
CAFETERIA LA 54 LOS PEPES,571,2171518
MINIMERCADO DE LA 55,571,2171518
PUNTO 54,571,2171690
CASA COMERCIAL ARIES,571,2172284
MERKAFRUVER EXPRESS HB,571,2173225
SIETE WEB,571,2173285
BOHNMATIC DE COLOMBIA,571,2173314
LE PETIT SALON,571,2173400
PRINT & REFILL,571,2173439
NUTRITIENDA,571,2173619
PERNILES DE LA SABANA LOURDES,571,2174296
COMPRAVENTA DE ROPA LIVERPOOLSS,571,2174416
CIGARRERIA LOURDES,571,2174873
ALMI LUZ,571,2174989
MINIMODA,571,2175101
BOUTIQUE YOIDI,571,2175608
JOYERIA DIANA,571,2175785
LUZ ELCY - SPA,571,2176224
SOLO COPIAS Y PAPELES JH,571,2176296
El Castillo,571,2176318
MERIZALDE PELUQUERIA,571,2176623
GAS HOGAR RP,571,2176973
TIENDA CELULAR J.D.,571,2177467
CHORIZOS Y CARNES N° 2,571,2177606
AUTHORS LTDA,571,2177788
CAMISAS JUAN CARLOS,571,2178348
OPTICA A B C,571,2178588
ROBERTO VARELA ACOSTA E U THE DOG TAG E U,571,2178595
CALZADO BOSI,571,2178641
LUZ NELLY ROJAS,571,2178847
SENA,571,2178863
SERVICENTRO JAWACO,571,2179034
MIS VIEJOS ZAPATOS,571,2179572
AYER Y CO ANTIGUEDADES,571,2179789
World Trade Center,571,2183206
TO WOK,571,2185259
El Lago,571,2185662
BOGOTA LIVING 55,571,2188593
CIGARRERIA LA VIÑA 61,571,2202015
ABRIL NO.41,571,2263251
VARIEDADES SANDRY CAROLA,571,2309886
CIGARRERIA Y CAFETERIA SAN BITTO,571,2320258
BBQ HOUSE,571,2320265
ELIZABETH,571,2321428
FERPEZ,571,2322432
AWALIM ACADEMIA DE DANZA,571,2323192
AGGA PAPELERIA UNO,571,2323848
CAFETERIA BON GUSTO,571,2323928
CIGARRERIA MECATOS DE LA 46,571,2324368
FASCINO TOTO W & C,571,2324585
VIRTUAL JB OFFICE,571,2324646
AUTOSERVICIO JUMBO EXPRESS,571,2324664
CIGARRERIA LA ESTACION DE LA 49,571,2324664
GRUPO JUVENIL TEATRO SUSPENDIDA,571,2326133
PELUQUERIA MUNDO MODERNO,571,2326824
CIGARRERIA PUNTO SIETE,571,2328320
SALA DE BELLEZA MAURA UNISEX,571,2328695
EDS ESSO INCOCENTRO CALLE 49,571,2329822
STORE JACKETS J Y D,571,2338413
TECNOFICOM,571,2350030
ELECTRO ILUMINACIONES CHAPINERO,571,2350036
LIBRERIA CATOLICA GUADALUPANA,571,2350055
CALZA BOGOTA,571,2350073
ELECTROLUMINARIAS,571,2350114
CENTRO OPTICO MANHATTAN,571,2350186
JARDIN INFANTIL CARRUSEL KINDERGARTEN,571,2350350
CASA COMERCIAL LA PESETA,571,2350353
RESISTENCIA RST,571,2350453
CIGARRERIA A LA LATA,571,2350467
CALZADO SIBONY,571,2350471
CASA COMERCIAL SUPER CASH MAOM,571,2350519
AGENCIA DE PANTUFLAS,571,2350755
CIGARRERIA FILADELFIA ROMERO,571,2350759
GLORIA ORTIZ CENTRO DE BELLEZA,571,2350779
ELECTRO SUPER CHAPINERO,571,2350848
INVERSIONES ELECTRO SUPER S. A S.,571,2350848
BAR CIGARRERIA BUCAROS DE LA 11,571,2350964
LOS CABALLEROS NO 1,571,2351112
CASA COMERCIAL DE LA 58,571,2351189
CHURRERIA LA CASTREÑA,571,2351289
TITO SALON DE BELLEZA,571,2351324
BLAUS CHAPINERO,571,2351346
COFRE DE FRUTAS,571,2351373
CAPILARES Y COSMETICOS MARIA V,571,2351485
MINI MERCADO MICHEL,571,2351539
V D EL MUNDO A SUS PIES NO 25,571,2351623
DISTRIBUIDORA PAÑALERA SAUL FELIPE 2,571,2351667
ARTESANIAS Y REGALOS LA 60,571,2351712
LA BONANZA DE LAS MEDIAS,571,2351816
LOUIS BARTON,571,2351878
CASA COMERCIAL LA PLATINA DE ORO,571,2352032
ELECTRICOS Y FERRETERIA SARA,571,2352108
DROGUERIA Y ORTOPEDICOS DISALUD,571,2352406
SAVIANO,571,2352847
DELICIAS DE LA 58,571,2352995
MULTIMARCA CHAPINERO,571,2352998
ORBIDENTAL,571,2353110
CENTER LIGHTS 65,571,2353473
MALETINES Y ACCESORIOS SARDAVS,571,2353572
MALETAS Y MALETINES CENTAURO,571,2353579
JANINE ZAPACOL LTDA,571,2353864
MULTIELECTRICOS Y RESISTENCIAS,571,2353998
HENRY S LICORES Y COMESTIBLES,571,2354332
DROGUERIA Y PERFUMERIA ARLEY,571,2354485
CASA COMERCIAL MANCHESTER,571,2354557
CAFETERIA PARA DON LUIS L T,571,2354592
CIGARRERIA Y FRUTERIA CHIPRE,571,2354625
SALA DE BELLEZA Y PELUQUERIA JACINTO,571,2354658
CALZADO LIVERPOOL 2,571,2354737
SUPERMERCADO DOÑA CHAVA IC,571,2354839
DIS-TINTAS,571,2355160
TIENDA CAFE CIGARRERIA BAR,571,2355160
SENA,571,2355210
VIA CALZATORE,571,2355476
CIGARRERIA LA 59 H.S,571,2355505
ALMACEN SU VIDRIO ARTE DIRAGI,571,2355523
COMPRA VENTA LA FONTANA,571,2355542
SERVIDEPORTES,571,2355607
ELECTROTECNICO CASTRO,571,2355748
CHAUX ARMANNI 105-106,571,2355771
KANNES Y CAT S,571,2355834
HEBER YESMITH GOMEZ MARTINEZ,571,2356062
COMERCIALIZADORA LA 59,571,2356206
REPUBLICA 3,571,2356275
FRUTERIA Y CAFETERIA EL ANCLA,571,2356330
AUTO SERVICIO UGANDA NO.2,571,2356714
DIANA GARCIA CHEF EN MOVIMIENTO,571,2356805
CASA COMERCIAL EL PORTAL DE LA 56,571,2357010
CARNES LA 63 Ñ 2,571,2357035
DISTRIBUIDORA DE DULCES Y PAÑALES LA 64,571,2357128
MULTITIENDA PRODUCTOS NATURALES,571,2357147
ALMACENES LUCIED,571,2357243
DISTRIBUIDORA DE LACTEOS R.A.,571,2357296
MUNDIAL DE LAMPARAS,571,2357392
V D EL MUNDO A SUS PIES NO 29,571,2357399
Corporación de Educación Superior Unitec,571,2357450
LUCA´S PIZZA,571,2357539
INDUSTRIA DE CONFECCIONES SAS CHAPINERO CLL 62,571,2357775
ALMAR 911,571,2358180
WILLIAM GOMEZ PELUQUERIA,571,2358205
ALMACEN DE CALZADO FRIDA,571,2358259
DIVINAS MODA & DISEÑO,571,2358277
SALA DE BELLEZA Y PELUQUERIA ISA BELLA,571,2358325
SARALUZ,571,2358389
COMPRAVENTA DE ROPA DE REMATE .COM,571,2358643
CIGARRERIA MARLY EXPRESS,571,2358664
SALA DE BELLEZA EDGAR,571,2358704
DROGAS COLOMBIA FARMA SUCURSAL ROSALES,571,2358741
CALZADO SANDRA LA CASA DEL CALZADO,571,2358765
COMERCIALIZADORA MAXILANAS,571,2358817
LIBRERIA CRISTIANA ELIM,571,2358865
ACADEMIA EDUCATIVA SAN MIGUEL,571,2358903
CALZADO DEBORAH'S,571,2358904
HC ELECTRONICA,571,2359018
CENTRO DE ESTETICA Y SALA DE BELLEZA EBONY,571,2359059
QUINCI SUETERES,571,2359083
ALTERNATIVAS G R,571,2359154
LOS ANTOJITOS DE SANDY,571,2359163
CARNES FINAS EL NOVILLO J O,571,2359212
LABERINTO DEL FAUNO,571,2359214
AROMA Y BUEN GUSTO,571,2359318
CASA COMERCIAL LA 55,571,2359434
NUEVA PLATERIA STERLING,571,2359784
PENIEL GUTIERREZ,571,2359866
ILUMINAR M&M,571,2359869
EAGLE TECHNOLOGY,571,2359943
JOSCELL,571,2359943
REVISTA LGBT,571,2406595
SOFI STICADA PELUQUERIA UNISEX,571,2430759
TECNICAL MUSIC,571,2436349
CALZADO CORREDOR,571,2440504
ORFEBRERIA VICENZA,571,2450594
ANTOJOS MARTIN,571,2450881
J'ADORE LA PELUQUERIA,571,2451179
AREPIZ CHAPINERO,571,2451288
MUSIFRANCO,571,2451606
SUPERMERCADO DON ALVARO PEREZ,571,2451666
ALMACEN ELECTROMAFER,571,2452161
RAPIDELICIAS DE LA 49,571,2452383
DISTRIBUCIONES Y REPRESENTACIONES DISOR,571,2452526
COMPRA Y VENTA PUNTO DEL USADO,571,2453413
DAHAUS STORE,571,2453760
PLOT ON LINE,571,2454188
SEGUNDO ANGELINO GARCIA AREVALO,571,2454312
COMPRAVENTA DE ROPA NUEVA Y USADA LA OCACION,571,2454771
REBAJA NO. 115 BOGOTA MARLY 1,571,2455401
CORPORACION CENTRO DE APOYO POPULAR CENTRAP,571,2455431
FARFALLINA BELLEZA,571,2456113
BOGOTANA DE BELLEZA,571,2457373
JAIME BARON,571,2458583
SALUD VIBRANTE,571,2458876
COMPRA VENTA LA FAMILIA,571,2458891
ALFA SUMINISTROS A.S.,571,2458893
ALFASUMINISTROS F G,571,2458893
DROGAS SUPERANDINA,571,2459608
DROGUERIA CENSALUD,571,2459858
JEGO CUEROS,571,2480369
ELECTRICOS Y CERRAJERIA SIERRA,571,2480377
M B CASA NACIONAL MUSICAL,571,2480515
EL CENTRO DE LA MODA,571,2480799
DELIKATESSEN SAN JOSE,571,2480859
CASA COMERCIAL NUEVA ZELANDA,571,2480935
CONFECCIONES SALOME CHAPINERO,571,2481618
MONICA FLORISTERIA,571,2481917
ACUÑA ILUMINACION ELECTRICOS ELECTRONICA Y FERRETERIA,571,2481942
ECLIPSE PIZZERIA & COMIDAS RAPIDAS,571,2482018
ENSANBLE TIENDA MUSICAL,571,2482209
KURIUM S MALETINES Y ACCESORIOS,571,2482254
FOTO JAPON CARRERA 13 CON 57,571,2482330
CHAROL Y SAZON,571,2482421
ALMACEN ELENCA,571,2482503
PAPELES Y SUMINISTROS LA 71,571,2482517
WWW.EXPERTOSEGURIDAD.COM,571,2482542
CENTRO MEDICO NATURISTA LOS OLIVOS BOGOTA,571,2482657
FARMACIA LOS OLIVOS CHAPINERO,571,2482657
TIENDA NATURISTA LOS OLIVOS CHAPINERO,571,2482657
KEOPS CENTRO DE EST Y SALA DE BELLEZA,571,2482671
SHISH KEBAB,571,2482715
GINNIS SHOES,571,2482735
MEGATIENDA CALZADO PAPO G,571,2482749
ALMACEN TIA CHAPINERO,571,2483036
DISTRIBUIDORA DE GASEOSAS CORGI,571,2483062
VARIEDADES ANA LUCIA,571,2483318
EXITO EXPRESS CARRERA 7 CON 60,571,2483394
COLOMBIAN POLA,571,2483406
CAMISAS EL DUQUE LTDA NO 7,571,2483448
DROGUERIA ACUÑA CHAPINERO,571,2483518
CENTRO DE BELLEZA OLGA LIGIA,571,2483550
Cedinpro,571,2483669
CASA COMERCIAL LA EDGAR,571,2483698
LICORES Y CIGARRERIA BLANCO Y NEGRO,571,2483909
OPCIONES TECNOLOGICAS LIMITADA,571,2483960
RAFAEL OBREGON PELUQUERIA,571,2484067
INTERELECTRICA CHAPINERO,571,2484286
CIGARRERIA RICURAS DE LA 67,571,2484471
A.B.C. VIDRIOS CHAPINERO,571,2484511
ALMACEN MAPRIMAS,571,2484764
RAPIDCOPIAS,571,2485458
COLORPIEL 59,571,2485877
CASA COMERCIAL SERVI PRONTO,571,2485961
ANTIGUEDADES ELIAS PEREZ,571,2486039
COMPRA Y VENTA DE ROPA ANDY PANDA,571,2486099
RICOTA,571,2486122
COMPRA VENTA CASA COMERCIAL LA 57,571,2486138
VISUTERIA GLORIANS,571,2486479
ALL MUSIC INSTRUMENTOS MUSICALES S.A.S,571,2486718
CIGARRERIA Y CAFETERIA GRAN 67,571,2486758
DROGUERIA Y PERFUMERIA SEPTIMA 1,571,2486997
ANTIGUEDADES LIBROS CANCINO CHAPINERO,571,2487103
INFANTILES NAKUPY,571,2487140
TRILCE EDITORES,571,2487145
TOTTO CHAPINERO CALLE 57,571,2487375
EL CAFE DE ISA,571,2487871
FERRE ELECTRICOS UNIVERSAL 60,571,2487904
CAFE RITA,571,2487905
CIGARRERIA EL SHAZZ,571,2487947
EL RECODO DE LA 55,571,2488769
GERMANY COLLECTION,571,2488810
BELLOLAMPARAS,571,2488823
HOT & SPICY NICE FOOD,571,2488842
FRUTERIA Y CAFETERIA TROPICAL PUNTO 63,571,2488945
DULCE DULCE BAR CAFE MANGOS PIZZA,571,2488964
JARDIN SAN DIEGO,571,2489007
CIGARRERIA CARITO S,571,2489046
SY BAGS & CO,571,2489085
RUEDA FASHION PELUQUERIA,571,2489195
CIGARRERIA COPENHAGUE,571,2489211
MALETAS LAS VEGAS,571,2489233
SUPER EMPANADAS,571,2489501
TOUCH STORE,571,2489515
LA AGENCIA DE PANTUFLAS CHAPINERO,571,2489727
CIGARRERIA LOS ROSALES J C,571,2489733
CENTRO INTEGRAL NATURALES VANDER,571,2489861
OPTIMAX OPTICA,571,2490013
HOME MEDICAL,571,2490013
OPTIMAX OPTICA,571,2490013
HOME MEDICAL,571,2490013
INDUSTRIA COLOMBIANA DE CONFECCIONES S A S CALLE 60,571,2490082
JOYERIA NEW YORK,571,2490199
LIBROTECA,571,2490233
ASOCIACION COLOMBIANA DE MUJERES RURALES,571,2490294
CASA COMERCIAL LA 60,571,2490306
SINTONIA,571,2490332
CALZADO Y BOLSOS ECUATORIANO,571,2490373
GATOSANTO ACCESORIOS,571,2490384
DULCERIA Y CAFETERIA ANIYOL,571,2490389
LENCERIA EXITOMANIA,571,2490437
LA TIENDA DEL GRABADO & SEÑALIZACION,571,2490597
BANIZZI,571,2490706
DISTRIBUIDORA DE DULCES Y DESECHABLES FIESTA,571,2490759
TORNILLERIA TORNIMETRO,571,2490861
FRUTAS DELI,571,2490942
FRUTAS DELI,571,2490942
LA PINACOTECA,571,2491017
CIGARRERIA MERLOT LICORES,571,2491021
KIPO ESTUDIO,571,2491229
CAPITAL ROLL,571,2491256
PANAMERICANA LIBRERIA PAPELERIA,571,2491267
ADORNOS J S,571,2491288
DROGUERIA CHAPINERO ALTO,571,2491608
LASPRILLA TOVAR GERMAN - INTECAP,571,2491770
DISTRIBUIDORA DE DULCES LA 61,571,2491869
COMERCIAL CASTILLO DE ORO,571,2491938
FUSIBLES JAVISAR LTDA,571,2492246
ZIG ZAG MACHINE LTDA,571,2492299
MAIA NOVIAS & COCTEL,571,2492449
ARTICULOS RELIGIOSOS LA VIRGEN DEL CARMEN,571,2492593
ARTICULOS RELIGIOSOS LA VIRGEN DEL CARMEN,571,2492593
STUDIO R,571,2492639
LUIS FELIPE MODA,571,2492639
VIVIHOGAR HOME,571,2492934
SANYIS CUEROS,571,2492985
PELUQUERIA SANDRA ZAPATA,571,2493049
LANAS CASA ROSADA,571,2493063
CASA DEL MUSICO LA COLONIAL,571,2493126
INSTRUMENTOS MUSICALES ESCOBAR GIL E U,571,2493126
FRUTERIA Y CAFETERIA DE LA 62,571,2493189
FREDY PELUQUERIA 1,571,2493367
MAGIC KINGDOM GARDEN SCHOOL,571,2493415
PAPELERIA EDDY II,571,2493593
MISCELANEA ALIXIA,571,2494310
ALMACEN LOS VESTIDOS GIRATELL,571,2494505
FORMACION DE FAMILIAS DE LA PRIMERA INFANCIA,571,2494678
ALMACEN NICOLS 1,571,2494714
ARTISTAS INSTRUMENTOS MUSICALES,571,2494826
LA CASA DEL MERENGUITO,571,2495006
TREFFEN,571,2495058
RESTAURANTE EL TRANVIA,571,2495087
AGENCIA FULLER,571,2495231
ALMACEN DE CALZADO CLARIC,571,2495382
FORMAL CASUAL,571,2495471
CIGARRERIA Y FRUTERIA DON QUIJOTE JRTL,571,2495567
CIGARRERIA Y FRUTERIA DON QUIJOTE JRTL,571,2495567
BEAUTYSALON S A S,571,2495569
DROGAS COLOMBIA FARMA SUCURSAL CHAPINERO,571,2495688
CAJA DE HERRAMIENTAS,571,2495857
EL IMPERIO SHOP,571,2495864
CAMISERIA MODERNA VESTIDOS,571,2495989
INTERNET PRIVADO HUY,571,2496062
BUSTAMANTE DEPORTES,571,2496199
BONY SHOES,571,2496207
LIBRERIA ERRATA,571,2496234
CASA COMERCIAL LA FORTALEZA L.S.,571,2496242
Subdireccion Local para la integracion social,571,2496246
TIENDA Y CIGARRERIA EL SALON ROJO,571,2496310
COMERCIAL LA LLANURA,571,2496310
AUTOSERVICIO SAN FRANCISCO DE PAULA,571,2496401
BLANCOS SOLO BLANCOS,571,2496450
DISCO IN,571,2496475
PROMOCIONES LA GRAN MANZANA EU,571,2496520
MARIA HELENA,571,2496528
ALMACEN EL SEGUNDON,571,2496634
IMPERIO ANTIGUEDADES,571,2496762
LADY STAR,571,2496763
AQUILES 24,571,2496763
BANANAS FUENTE DE SODA,571,2497074
ECO AND ETHICAL,571,2497204
ROSALES,571,2497229
ALBERTO SALAZAR,571,2497229
RECOLETTA ANTIGUEDADES,571,2497250
AUTOSERVICIO LA 54,571,2497364
CASA COMERCIAL LA GRAN LLANURA A.D.S,571,2497393
OPCION DE VIDA Y PAZ,571,2497636
MERO TACO,571,2497662
FOTO ALMACEN ROZO,571,2497851
CASA COMERCIAL LA SULTANA,571,2498004
ITECH COLOMBIA,571,2498068
PIEL Y CUERO,571,2498164
ANTOJOS EXPRESS,571,2498260
KOYOMAD S.A.,571,2498607
ALMACENES LUCIED LTDA,571,2498640
PROCONFECCION,571,2498773
MAMA Y BEBE,571,2498857
MULTI - TRADING COLOMBIA,571,2499161
CASA COMERCIAL NEVADA,571,2499184
CASA COMERCIAL GINEBRA,571,2499184
ALMACENES EL IMPERMEABILIZADOR,571,2499186
STACION CENTRAL,571,2499231
LEVITICOS PELUQUERIA,571,2499663
EL PALACIO DE LAS CARTERAS,571,2499814
CASA COMERCIAL AMERICANA,571,2499953
SAMSARA ALMACENES,571,2499967
EXTASIS DE AMOR,571,2499978
MISCELANEA PAMANO,571,2501115
EL AMAUTA,571,2514849
ADELITA SUPERMARKET,571,2516959
ADELITA SUPERMARKET,571,2516959
COMIDAS RAPIDAS CANGRY BURGUER,571,2522728
COMIDAS RAPIDAS CANGRY BURGUER,571,2522728
BOOM STORE,571,2534343
ORGANIZACION NACIONAL DE COMERCIO ONLY,571,2546480
MESOGOLD ESTETICA,571,2546610
COMPRA VENTA UNIVERSITARIOS 1,571,2550020
COMPRA VENTA UNIVERSITARIOS 1,571,2550020
PEOPLES SPORTS,571,2550045
CIGARRERIA 65 GPM,571,2550381
ALMACEN MALETAS DANNA,571,2550405
GOZA CON GONZO,571,2550415
ESCUELA CIENTIFICA,571,2551072
APIARIOS LOS CONQUISTADORES EL ROSAL,571,2551083
NATURALES FUENTES DE LA SALUD,571,2551155
ALFA Y OMEGA SISTEMAS E IMPRESOS,571,2551176
SIBARIS TINTO DE VERANO,571,2551280
KALATYAD DULCERIA,571,2551459
CORPORACION ECOMUJER,571,2551576
LINGERIE BOUTIQUE,571,2551812
BOUTIQUE FANTASY SHOP,571,2551812
SAN LAZARO DE LA 63,571,2552172
DULCERIA EL OASIS DE CHAPINERO,571,2552956
CAFE MERLOT,571,2553134
ACADEMIA DE BELLEZA MARILUZ,571,2553248
PILON HAMBURGUESAS,571,2553320
ACUARIOS Y MASCOTAS FERRO,571,2553350
AMAGGIS EVENTOS CHEFF EN MOVIMIENTO,571,2553640
AMAGGIS EVENTOS CHEFF EN MOVIMIENTO,571,2553640
V D EL MUNDO A SUS PIES NO 05,571,2553949
EL PALACIO DE LAS CORBATAS,571,2554283
SUPERMERCADO PARQUE 62,571,2554338
MAMA MIA MATERNIDAD,571,2554351
EVOLTA BY 10D2,571,2554430
CHIPS ELECTRONICS,571,2555031
CIGARRERIA DONDE CARLOS SR,571,2555179
CIGARRERIA DONDE CARLOS SR,571,2555179
FLORISTERIA LA FLORIDA,571,2555254
DELIZZIOZO CAFETERIA Y FRUTERIA TROPICAL,571,2555257
CIGARRERIA LA GARULLA SANTAFEREÑA,571,2555298
JOYERIA Y RELOJERIA 18 KALAY,571,2555588
INTER U & CO,571,2555697
FERRETERIA LA SOLUCION DE LA 62,571,2555802
LA GACETILLA,571,2555974
NUTRISPORT,571,2556235
C A NUTRICION,571,2556235
MEGAFRUVER 66,571,2556576
