nombre,indipais,telefono,,,,,,,,,,,,,,,,,,,,,
FUTECH GROUP S.A,57,3003339646,,,,,,,,,,,,,,,,,,,,,
PLÁSTICOS MINIPET S.A.S.,57,3003339646,,,,,,,,,,,,,,,,,,,,,
DISCOMERLA SAS,57,3003418638,,,,,,,,,,,,,,,,,,,,,
ACCESORIOS AVE MARIA,57,3003423657,,,,,,,,,,,,,,,,,,,,,
LATIN HIDES SAS,57,3003459289,,,,,,,,,,,,,,,,,,,,,
ANDREA LARA ACCESORIOS S.A.S,57,3003563372,,,,,,,,,,,,,,,,,,,,,
ANDREA LARA ACCESORIOS S.A.S,57,3003563372,,,,,,,,,,,,,,,,,,,,,
YARAL GROUP C.I. SAS,57,3003623310,,,,,,,,,,,,,,,,,,,,,
XTON,57,3003687525,,,,,,,,,,,,,,,,,,,,,
C.I. ZIG ZAG WEAR S.A.S.,57,3003705943,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA INTERNACIONAL RUBICAM SAS,57,3003724539,,,,,,,,,,,,,,,,,,,,,
PEGAUCHO S.A.S.,57,3003734855,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS SAN FELIPE S.A.S,57,3003757947,,,,,,,,,,,,,,,,,,,,,
TRADEBOOK,57,3003773167,,,,,,,,,,,,,,,,,,,,,
IDLINK S.A.S.,57,3003826998,,,,,,,,,,,,,,,,,,,,,
HOSPITAL PABLO TOBÓN URIBE,57,3003917582,,,,,,,,,,,,,,,,,,,,,
ATOMIC STUDIO SAS,57,3003946601,,,,,,,,,,,,,,,,,,,,,
IMAGENES GRAFICAS S.A,57,3004046185,,,,,,,,,,,,,,,,,,,,,
CIDENET SAS,57,3004206014,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS CORY SAS,57,3004324580,,,,,,,,,,,,,,,,,,,,,
DISTRIBUIDORA AGROCARNES,57,3004331977,,,,,,,,,,,,,,,,,,,,,
NÁUTICA DIGITAL S.A.S,57,3004335557,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS SERRANO CHANAGA S.A.S.,57,3004413101,,,,,,,,,,,,,,,,,,,,,
RAMONERRE,57,3004413262,,,,,,,,,,,,,,,,,,,,,
AVA LOPEZ S.A.S,57,3004453946,,,,,,,,,,,,,,,,,,,,,
AMERICAN FLOWERS MEDELLIN S.A.S,57,3004504902,,,,,,,,,,,,,,,,,,,,,
I.A.S. INGENIERÍA APLICACIONES Y SOFTWARE S.A.S.,57,3004627959,,,,,,,,,,,,,,,,,,,,,
TU TALLER DESIGN,57,3004657260,,,,,,,,,,,,,,,,,,,,,
COMFRUTAS EXPORT SAS,57,3004658006,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA ARGUELLES SAS,57,3004710735,,,,,,,,,,,,,,,,,,,,,
AROMASSENCE S.A.S,57,3004711753,,,,,,,,,,,,,,,,,,,,,
ESCOBAR Y MARTINEZ S.A.,57,3004771535,,,,,,,,,,,,,,,,,,,,,
SOP DE COLOMBIA S.A.S,57,3004850514,,,,,,,,,,,,,,,,,,,,,
DULCES CONCHITA,57,3004862083,,,,,,,,,,,,,,,,,,,,,
NATURAL DROPS S.A.S.,57,3004885301,,,,,,,,,,,,,,,,,,,,,
AROMASSENCE S.A.S,57,3004899044,,,,,,,,,,,,,,,,,,,,,
FABRICA DE CALZADO ROMULO LTDA,57,3004900884,,,,,,,,,,,,,,,,,,,,,
DISEÑOS Y SOLUCIONES INDUSTRIALES,57,3004965773,,,,,,,,,,,,,,,,,,,,,
MALU SWIMWEAR,57,3004967045,,,,,,,,,,,,,,,,,,,,,
CORTINEROS LIDER S.A,57,3005032995,,,,,,,,,,,,,,,,,,,,,
INDUSTRIA AMERICANA DE COLCHONES INDUAMERCOL S.A.S,57,3005060926,,,,,,,,,,,,,,,,,,,,,
PROTELA S.A.,57,3005099304,,,,,,,,,,,,,,,,,,,,,
ECOCUEROS SA,57,3005134370,,,,,,,,,,,,,,,,,,,,,
ORGANIZACIÓN LASAIRE,57,3005141897,,,,,,,,,,,,,,,,,,,,,
PERALTA PERFILERIA SAS,57,3005166056,,,,,,,,,,,,,,,,,,,,,
INGEMARC CIA LTDA,57,3005171615,,,,,,,,,,,,,,,,,,,,,
INCOLVIT LTDA,57,3005265316,,,,,,,,,,,,,,,,,,,,,
ON3D STUDIOS,57,3005271283,,,,,,,,,,,,,,,,,,,,,
VECTOR FOODS S.A.S,57,3005341492,,,,,,,,,,,,,,,,,,,,,
STANTON SAS,57,3005463061,,,,,,,,,,,,,,,,,,,,,
BANANITAS SAS,57,3005516746,,,,,,,,,,,,,,,,,,,,,
BANANITAS SAS,57,3005524359,,,,,,,,,,,,,,,,,,,,,
MANGOMEZ S.A.S.,57,3005553485,,,,,,,,,,,,,,,,,,,,,
MANGOMEZ S.A.S.,57,3005553485,,,,,,,,,,,,,,,,,,,,,
EDUMEDIA SAS,57,3005570826,,,,,,,,,,,,,,,,,,,,,
INDUMA S.C.A.,57,3005572440,,,,,,,,,,,,,,,,,,,,,
GAMMAPEIT,57,3005681017,,,,,,,,,,,,,,,,,,,,,
CNT SISTEMAS DE INFORMACION S.A.,57,3005699096,,,,,,,,,,,,,,,,,,,,,
EMPAQUETADURAS FEYCO LTDA.,57,3005702059,,,,,,,,,,,,,,,,,,,,,
CNT SISTEMAS DE INFORMACION S.A.,57,3005703169,,,,,,,,,,,,,,,,,,,,,
TONO A TONO ACTIVE LINE SAS,57,3005708699,,,,,,,,,,,,,,,,,,,,,
CENTER GROUP,57,3005715567,,,,,,,,,,,,,,,,,,,,,
MAGNUS CONSULTING GROUP,57,3005715649,,,,,,,,,,,,,,,,,,,,,
CLEAN MASTER S.A.S.,57,3005910880,,,,,,,,,,,,,,,,,,,,,
HATO LA MACANA SAS,57,3005934081,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS AUTOADHESIVOS ARCLAD S.A.,57,3005958040,,,,,,,,,,,,,,,,,,,,,
NUTRA,57,3006058924,,,,,,,,,,,,,,,,,,,,,
PSL - PRODUCTORA DE SOFTWARE S.A.,57,3006087828,,,,,,,,,,,,,,,,,,,,,
VHERA LUCCI,57,3006092547,,,,,,,,,,,,,,,,,,,,,
ITCONSULTORES S.A.S.,57,3006099455,,,,,,,,,,,,,,,,,,,,,
STANTON SAS,57,3006101923,,,,,,,,,,,,,,,,,,,,,
DULCES EL TRAPICHE SAS,57,3006121278,,,,,,,,,,,,,,,,,,,,,
SOLARETTA,57,3006126256,,,,,,,,,,,,,,,,,,,,,
MULTIPROYECTOS SA,57,3006141323,,,,,,,,,,,,,,,,,,,,,
PRINTS LAB S.A.S.,57,3006144388,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA INTERNACIONAL C-BUSINESS SOURSE S.A.S,57,3006152908,,,,,,,,,,,,,,,,,,,,,
HELENICA,57,3006159425,,,,,,,,,,,,,,,,,,,,,
HELENICA,57,3006159425,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS SALGARI S.A.S,57,3006164807,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES MEICY S.A.S.,57,3006180222,,,,,,,,,,,,,,,,,,,,,
VICAL TRABAJADORES SAS,57,3006510642,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA INTERNACIONAL SPORT WORLD S.A.,57,3006516189,,,,,,,,,,,,,,,,,,,,,
NEROLI S.A.S,57,3006518831,,,,,,,,,,,,,,,,,,,,,
COASPHARMA SAS,57,3006521211,,,,,,,,,,,,,,,,,,,,,
VERDE PURO,57,3006543745,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS SAN FIORANO S.A.S,57,3006548418,,,,,,,,,,,,,,,,,,,,,
PROCAPS S.A.,57,3006594082,,,,,,,,,,,,,,,,,,,,,
ALSEC S.A,57,3006741333,,,,,,,,,,,,,,,,,,,,,
A&N DISEÑO,57,3006742424,,,,,,,,,,,,,,,,,,,,,
SOLUCIONES INTEGRALES DE OFICINA S.A,57,3006747045,,,,,,,,,,,,,,,,,,,,,
C. I. KYOTO LOHAS BEANS S.A.S.,57,3006782171,,,,,,,,,,,,,,,,,,,,,
CELSA S.A.S,57,3006789489,,,,,,,,,,,,,,,,,,,,,
OPEN MIND COLOMBIA SAS,57,3006867020,,,,,,,,,,,,,,,,,,,,,
ARNESES Y GOMAS S.A,57,3006939793,,,,,,,,,,,,,,,,,,,,,
DULCES EL TRAPICHE SAS,57,3006970424,,,,,,,,,,,,,,,,,,,,,
SE ORIGIN SAS - CAFE ANEI,57,3006984772,,,,,,,,,,,,,,,,,,,,,
CUEROS VELEZ S.A.S.,57,3007023650,,,,,,,,,,,,,,,,,,,,,
COOPERATIVA DEPARTAMENTAL DE PRODUCTORES DE QUINUA DEL CAUCA,57,3007363607,,,,,,,,,,,,,,,,,,,,,
RÍO BAJO ZF S.A.S.,57,3007405465,,,,,,,,,,,,,,,,,,,,,
COLCIRCUITOS S.A.S,57,3007429478,,,,,,,,,,,,,,,,,,,,,
FONSECA EXPORTACIONES S.A.S,57,3007716211,,,,,,,,,,,,,,,,,,,,,
IDLINK S.A.S.,57,3007776056,,,,,,,,,,,,,,,,,,,,,
MARTINS MERCHANDISING,57,3007810572,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS AUTOADHESIVOS ARCLAD S.A.,57,3007859084,,,,,,,,,,,,,,,,,,,,,
ECOSPLASH,57,3007859376,,,,,,,,,,,,,,,,,,,,,
C.I. ZIG ZAG WEAR S.A.S.,57,3007864050,,,,,,,,,,,,,,,,,,,,,
IBS ZONA FRANCA S.A.S.,57,3008007051,,,,,,,,,,,,,,,,,,,,,
BLUESOFT TECHNOLOGY S.A.S,57,3008013539,,,,,,,,,,,,,,,,,,,,,
DTB MEDIA GROUP SAS,57,3008102950,,,,,,,,,,,,,,,,,,,,,
FRUTAS Y TUBÉRCULOS DEL SINÚ S.A.S,57,3008143523,,,,,,,,,,,,,,,,,,,,,
ARITEX DE COLOMBIA S.A.,57,3008190286,,,,,,,,,,,,,,,,,,,,,
SAMARA COSMETICS,57,3008447501,,,,,,,,,,,,,,,,,,,,,
LUJANES 21 S.A.S,57,3008655715,,,,,,,,,,,,,,,,,,,,,
PROPLAS S.A,57,3008944456,,,,,,,,,,,,,,,,,,,,,
DAMISELLA ES AMOR PROPIO,57,3012242671,,,,,,,,,,,,,,,,,,,,,
TIPÉ S.A.S,57,3012413993,,,,,,,,,,,,,,,,,,,,,
GASEOSAS POSADA TOBON S.A.,57,3012438124,,,,,,,,,,,,,,,,,,,,,
TECH4RIDERS S.A.S.,57,3012538767,,,,,,,,,,,,,,,,,,,,,
BAY'K JEANS,57,3012577641,,,,,,,,,,,,,,,,,,,,,
WILLIAM CHARRY / ARANY SPORT,57,3012647542,,,,,,,,,,,,,,,,,,,,,
OPENTIC SAS,57,3012734449,,,,,,,,,,,,,,,,,,,,,
GAM LASER,57,3012763999,,,,,,,,,,,,,,,,,,,,,
LA PERLA ORGANICOS S.A.S,57,3012955782,,,,,,,,,,,,,,,,,,,,,
PUNTOTEX INTERNACIONAL SAS,57,3013147974,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA INCO S.A.S / PINK GIRLS,57,3013214268,,,,,,,,,,,,,,,,,,,,,
UNODOT S.A.S,57,3013374428,,,,,,,,,,,,,,,,,,,,,
E-ME AGENCIA DIGITAL,57,3013393783,,,,,,,,,,,,,,,,,,,,,
LADECOL S.A.S,57,3013410936,,,,,,,,,,,,,,,,,,,,,
SG TEXMODA SAS,57,3013411001,,,,,,,,,,,,,,,,,,,,,
BLACKSIP,57,3013471212,,,,,,,,,,,,,,,,,,,,,
EURO AMERICAN FRUITS,57,3013493533,,,,,,,,,,,,,,,,,,,,,
RC2 PHARMACEUTICAL S.A.S,57,3013537379,,,,,,,,,,,,,,,,,,,,,
TMSOFT SAS,57,3013643922,,,,,,,,,,,,,,,,,,,,,
INNOVA QUALITY S.A.S,57,3013680329,,,,,,,,,,,,,,,,,,,,,
TRIARIO S.A.S.,57,3013688554,,,,,,,,,,,,,,,,,,,,,
NOVEDADES PLÁSTICAS S.A,57,3013707091,,,,,,,,,,,,,,,,,,,,,
ANABRA S.A.S,57,3013710523,,,,,,,,,,,,,,,,,,,,,
SERATIC LTDA.,57,3013713834,,,,,,,,,,,,,,,,,,,,,
INNOVACIONES AJ,57,3013838546,,,,,,,,,,,,,,,,,,,,,
VILA S.A.S.,57,3013884987,,,,,,,,,,,,,,,,,,,,,
DUCON S.A.S,57,3014019055,,,,,,,,,,,,,,,,,,,,,
CLEAN MASTER S.A.S.,57,3014219141,,,,,,,,,,,,,,,,,,,,,
COMPAÑIA DE GALLETAS NOEL,57,3014298465,,,,,,,,,,,,,,,,,,,,,
WELHOME SAS,57,3014316080,,,,,,,,,,,,,,,,,,,,,
IMAGINE DISEÑO & MANUFACTURA S.A.S,57,3014319899,,,,,,,,,,,,,,,,,,,,,
YARAL GROUP C.I. SAS,57,3014448827,,,,,,,,,,,,,,,,,,,,,
WELHOME SAS,57,3014459396,,,,,,,,,,,,,,,,,,,,,
ROOM4 MEDIA,57,3014492004,,,,,,,,,,,,,,,,,,,,,
BENDITA,57,3014580239,,,,,,,,,,,,,,,,,,,,,
INVERMARK J,57,3014686364,,,,,,,,,,,,,,,,,,,,,
ARDISEK ARQUITECTURA Y DISEÑO S.A.S,57,3014744425,,,,,,,,,,,,,,,,,,,,,
NACIONAL DE DESHIDRATADOS S.A.S.,57,3014789005,,,,,,,,,,,,,,,,,,,,,
HERRAGRO,57,3014806232,,,,,,,,,,,,,,,,,,,,,
AGRICOLA HIMALAYA S.A.,57,3014912120,,,,,,,,,,,,,,,,,,,,,
TEXDECOR SAS,57,3014919390,,,,,,,,,,,,,,,,,,,,,
SKIT CONSULTING LTDA,57,3014938658,,,,,,,,,,,,,,,,,,,,,
JALIANAYA,57,3014971034,,,,,,,,,,,,,,,,,,,,,
DIGITAL TERRA,57,3015015010,,,,,,,,,,,,,,,,,,,,,
E-ME AGENCIA DIGITAL,57,3015019405,,,,,,,,,,,,,,,,,,,,,
PIZANTEX S.A,57,3015124790,,,,,,,,,,,,,,,,,,,,,
ELIZABETH ROJAS SIERRA E HIJOS SAS,57,3015131137,,,,,,,,,,,,,,,,,,,,,
COLCIRCUITOS S.A.S,57,3015166690,,,,,,,,,,,,,,,,,,,,,
ESMERALDA LEATHER LTDA,57,3015277237,,,,,,,,,,,,,,,,,,,,,
ECOBABY S.A.S,57,3015415196,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES PIKARAS SPORT,57,3015437171,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES PIKARAS SPORT,57,3015437171,,,,,,,,,,,,,,,,,,,,,
ORIGINAL NATURAL AND EFFECTIVE SAS,57,3015513231,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS DE ASEO1A LTDA,57,3015597800,,,,,,,,,,,,,,,,,,,,,
SIMONIZ S. A.,57,3015672985,,,,,,,,,,,,,,,,,,,,,
A&N DISEÑO,57,3015713724,,,,,,,,,,,,,,,,,,,,,
CORPORACIÓN CRTM DEL PACÍFICO,57,3015841479,,,,,,,,,,,,,,,,,,,,,
INGEMARC CIA LTDA,57,3015943179,,,,,,,,,,,,,,,,,,,,,
BARTER GROUP SAS,57,3015993728,,,,,,,,,,,,,,,,,,,,,
AROMATICAS DE ANTIOQUIA SAS,57,3016050566,,,,,,,,,,,,,,,,,,,,,
PRODUCTOS COMESTIBLES CALIPAN S .A.,57,3016075613,,,,,,,,,,,,,,,,,,,,,
SOTIUGAL S.A.S.,57,3016136372,,,,,,,,,,,,,,,,,,,,,
BAREKE,57,3016142796,,,,,,,,,,,,,,,,,,,,,
TMSOFT SAS,57,3016209004,,,,,,,,,,,,,,,,,,,,,
GAROTAS,57,3016519984,,,,,,,,,,,,,,,,,,,,,
PEGAUCHO S.A.S.,57,3016592868,,,,,,,,,,,,,,,,,,,,,
W.R.L. MARKETING S.A.S.,57,3016600816,,,,,,,,,,,,,,,,,,,,,
SICAM INVERSIONES,57,3016701824,,,,,,,,,,,,,,,,,,,,,
ECOLSIERRA EXPORT S.A.S,57,3016882428,,,,,,,,,,,,,,,,,,,,,
FONSECA EXPORTACIONES S.A.S,57,3016913498,,,,,,,,,,,,,,,,,,,,,
PAMPA LTDA,57,3016950917,,,,,,,,,,,,,,,,,,,,,
UNICO INTERIOR SAS,57,3016996083,,,,,,,,,,,,,,,,,,,,,
FORMESAN,57,3017138400,,,,,,,,,,,,,,,,,,,,,
GLOBAL AGRICULTURAL TRADING SAS,57,3017259089,,,,,,,,,,,,,,,,,,,,,
PERSONALICE,57,3017355393,,,,,,,,,,,,,,,,,,,,,
ITCONSULTORES S.A.S.,57,3017547930,,,,,,,,,,,,,,,,,,,,,
SOCODA,57,3017576140,,,,,,,,,,,,,,,,,,,,,
PSL - PRODUCTORA DE SOFTWARE S.A.,57,3017577799,,,,,,,,,,,,,,,,,,,,,
ASISPRIN,57,3017625400,,,,,,,,,,,,,,,,,,,,,
INNOVACIONES AJ,57,3017695722,,,,,,,,,,,,,,,,,,,,,
BRANDSTUDIO SAS,57,3017804886,,,,,,,,,,,,,,,,,,,,,
ALLTIC SAS,57,3017820086,,,,,,,,,,,,,,,,,,,,,
PLÁSTICOS FÉNIX,57,3017840533,,,,,,,,,,,,,,,,,,,,,
EXPORTADORA MONTES DE MACANILLO,57,3017842034,,,,,,,,,,,,,,,,,,,,,
KRISPETA S.A.S,57,3017846860,,,,,,,,,,,,,,,,,,,,,
NATURAL DROPS S.A.S.,57,3017894181,,,,,,,,,,,,,,,,,,,,,
FAJAS PIEL DE ANGEL,57,3017907565,,,,,,,,,,,,,,,,,,,,,
I.G.T. S.A.S.,57,3022411313,,,,,,,,,,,,,,,,,,,,,
SOURCE SOUTH SAS,57,3042017961,,,,,,,,,,,,,,,,,,,,,
BITGRAY SAS,57,3042167514,,,,,,,,,,,,,,,,,,,,,
CODISCOS S.A.S,57,3042458785,,,,,,,,,,,,,,,,,,,,,
PRODUCTORA Y COMERCIALIZADORA REINA LTDA,57,3043359852,,,,,,,,,,,,,,,,,,,,,
MOVIL VENTAS S.A.S.,57,3043409881,,,,,,,,,,,,,,,,,,,,,
COLCIRCUITOS S.A.S,57,3043491124,,,,,,,,,,,,,,,,,,,,,
MARCIANO S.A.S,57,3043530160,,,,,,,,,,,,,,,,,,,,,
CREACIONES KELINDA LIMITADA,57,3043752187,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES MEICY S.A.S.,57,3043921377,,,,,,,,,,,,,,,,,,,,,
BYG ELECTRONICA,57,3044101465,,,,,,,,,,,,,,,,,,,,,
PROMOTORA INTERNACIONAL DE COMERCIO LTDA,57,3044195525,,,,,,,,,,,,,,,,,,,,,
FIBERTEX CORPORATION,57,3044270106,,,,,,,,,,,,,,,,,,,,,
MALU SWIMWEAR,57,3044613000,,,,,,,,,,,,,,,,,,,,,
CFC CAFARCOL S.A.S.,57,3044686420,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA OSCAR FERREIRA S.A.S,57,3044837028,,,,,,,,,,,,,,,,,,,,,
COMERCIALIZADORA OSCAR FERREIRA S.A.S,57,3044837028,,,,,,,,,,,,,,,,,,,,,
LANZCOM AUDIOVISUAL S.A.S,57,3045235173,,,,,,,,,,,,,,,,,,,,,
GRUPO JANLIR S.A.S,57,3045302134,,,,,,,,,,,,,,,,,,,,,
FLORES CHIPATA S.A.,57,3045454916,,,,,,,,,,,,,,,,,,,,,
SIGMA STUDIOS S.A.S,57,3045469127,,,,,,,,,,,,,,,,,,,,,
SIGMA STUDIOS S.A.S,57,3045469127,,,,,,,,,,,,,,,,,,,,,
ZAFRAS S.A.,57,3045491542,,,,,,,,,,,,,,,,,,,,,
C.I. TROPIC KIT E.U.,57,3045510545,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS MAVILTEX S.A.S,57,3045595991,,,,,,,,,,,,,,,,,,,,,
DTB MEDIA GROUP SAS,57,3046429597,,,,,,,,,,,,,,,,,,,,,
BAY'K JEANS,57,3046558330,,,,,,,,,,,,,,,,,,,,,
C.I. GLOBAL BUSINESS S.A.,57,3052660036,,,,,,,,,,,,,,,,,,,,,
LEMAR SWIMWEAR,57,3055874602,,,,,,,,,,,,,,,,,,,,,
MC.DESIGN ART.S.A.S.,57,3057065821,,,,,,,,,,,,,,,,,,,,,
EMPACAR LTDA,57,3057146265,,,,,,,,,,,,,,,,,,,,,
TESSARI SAS,57,3057228281,,,,,,,,,,,,,,,,,,,,,
PERSONALICE,57,3059071984,,,,,,,,,,,,,,,,,,,,,
PERSONALICE,57,3059071984,,,,,,,,,,,,,,,,,,,,,
TEXTILIA S.A.S,57,3059754015,,,,,,,,,,,,,,,,,,,,,
TESSARI SAS,57,3078507357,,,,,,,,,,,,,,,,,,,,,
GRUPO EMPRESARIAL CCMP,57,3102052569,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA CAR SAS,57,3102063978,,,,,,,,,,,,,,,,,,,,,
BUSHER SAS,57,3102068234,,,,,,,,,,,,,,,,,,,,,
HOLDING FARMACÉUTICO S.A.,57,3102101516,,,,,,,,,,,,,,,,,,,,,
MODUART S.A.,57,3102106246,,,,,,,,,,,,,,,,,,,,,
MODUART S.A.,57,3102115334,,,,,,,,,,,,,,,,,,,,,
FORMFIT DE COLOMBIA S.A,57,3102134748,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES DAVINCHI,57,3102145513,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS FULLER PINTO S.A,57,3102153657,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS FULLER PINTO S.A,57,3102153657,,,,,,,,,,,,,,,,,,,,,
JAVAR SAS,57,3102177855,,,,,,,,,,,,,,,,,,,,,
ETIPRESS S.A.,57,3102209277,,,,,,,,,,,,,,,,,,,,,
JUAN FABIO LOPERA,57,3102226204,,,,,,,,,,,,,,,,,,,,,
JUAN FABIO LOPERA,57,3102226205,,,,,,,,,,,,,,,,,,,,,
LLOREDA S.A.,57,3102249607,,,,,,,,,,,,,,,,,,,,,
LLOREDA S.A.,57,3102249607,,,,,,,,,,,,,,,,,,,,,
COMESTIBLES RICOS S.A.,57,3102263581,,,,,,,,,,,,,,,,,,,,,
STILOTEX,57,3102293984,,,,,,,,,,,,,,,,,,,,,
MULTIPROYECTOS SA,57,3102297234,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES LADY MARCEL,57,3102313832,,,,,,,,,,,,,,,,,,,,,
HOLDING FARMACÉUTICO S.A.,57,3102322126,,,,,,,,,,,,,,,,,,,,,
ETIPRESS S.A.,57,3102337119,,,,,,,,,,,,,,,,,,,,,
AGRICOLA VIYAZARIG SAS,57,3102339311,,,,,,,,,,,,,,,,,,,,,
AUTOBUSES AGA DE COLOMBIA S.A.,57,3102356246,,,,,,,,,,,,,,,,,,,,,
MANUFACTURAS RICAL LTDA.,57,3102382222,,,,,,,,,,,,,,,,,,,,,
UNIPERFILES S.A.S,57,3102383550,,,,,,,,,,,,,,,,,,,,,
ECOHILANDES SAS,57,3102386564,,,,,,,,,,,,,,,,,,,,,
CONFECCIONES LADY MARCEL,57,3102401501,,,,,,,,,,,,,,,,,,,,,
C.I. INVERSIONES DERCA SAS,57,3102402276,,,,,,,,,,,,,,,,,,,,,
VIA INNOVA SAS,57,3102456898,,,,,,,,,,,,,,,,,,,,,
FUNDACIÓN ENLACE ACTIVO,57,3102477210,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS METALICAS ASOCIADAS S.A IMAL,57,3102487583,,,,,,,,,,,,,,,,,,,,,
PELANAS SAS,57,3102490888,,,,,,,,,,,,,,,,,,,,,
PELANAS SAS,57,3102490888,,,,,,,,,,,,,,,,,,,,,
HERRAJES DUDI S.A.S,57,3102516902,,,,,,,,,,,,,,,,,,,,,
CREACIONES KELINDA LIMITADA,57,3102540130,,,,,,,,,,,,,,,,,,,,,
